Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1996,c_2,c_1,m_1,m_1,0.9582,0.14191264
model_1997,m_2,c_7,c_11,c_5,0.9349,0.21767218
model_1998,c_2,m_3,c_1,c_2,0.9443,0.18972349
model_1999,c_8,c_12,c_6,c_12,0.9735,0.08595932
model_2000,c_7,c_3,c_4,m_1,0.9746,0.079400055
model_2001,m_1,c_7,c_4,c_3,0.9347,0.21260363
model_2002,c_7,c_5,c_3,c_4,0.9736,0.08434704
model_2003,c_5,c_12,c_11,c_12,0.9712,0.09002637
model_2004,c_4,c_12,s,-,0.9675,0.10823871
model_2005,m_3,c_12,c_8,c_7,0.8551,0.4677982
model_2006,c_1,c_8,c_9,c_2,0.9735,0.08462415
model_2007,c_5,m_3,c_4,m_3,0.9465,0.18228847
model_2008,m_1,c_6,c_7,s,0.9338,0.22275598
model_2009,c_3,m_2,c_6,m_3,0.9529,0.15820058
model_2010,c_8,c_3,c_2,c_11,0.9725,0.08754793
model_2011,c_8,c_1,c_11,c_10,0.9741,0.08266167
model_2012,c_7,m_2,c_9,c_7,0.9476,0.1728188
model_2013,c_5,c_3,c_2,c_8,0.9736,0.08604291
model_2014,c_4,c_6,c_3,c_1,0.9743,0.08119236
model_2015,c_6,c_8,m_3,c_7,0.963,0.12662198
model_2016,c_10,c_5,c_9,c_11,0.9759,0.08001139
model_2017,c_3,c_7,c_7,c_12,0.9709,0.089888506
model_2018,m_1,c_1,c_10,c_5,0.935,0.20811549
model_2019,c_9,c_12,c_2,m_1,0.9722,0.08758235
model_2020,m_1,c_11,c_4,c_12,0.9354,0.21670824
model_2021,c_6,c_11,c_5,m_1,0.9723,0.08498438
model_2022,c_2,c_1,c_3,c_10,0.9709,0.088009946
model_2023,c_9,m_2,c_12,m_3,0.9551,0.15073788
model_2024,c_11,m_3,c_4,m_1,0.9326,0.22038607
model_2025,c_1,c_5,c_6,c_9,0.9723,0.08363393
model_2026,c_11,c_12,m_1,m_3,0.963,0.12817216
model_2027,c_10,m_2,c_7,c_10,0.9454,0.17797151
model_2028,c_7,c_10,c_1,m_3,0.9742,0.08009463
model_2029,c_8,m_1,c_5,c_5,0.951,0.16692157
model_2030,c_3,c_2,c_3,m_1,0.9694,0.091455616
model_2031,c_4,c_4,c_2,c_3,0.9743,0.08405178
model_2032,c_7,m_2,c_7,c_2,0.9465,0.17622803
model_2033,c_8,c_3,m_2,m_1,0.9649,0.12036789
model_2034,c_8,c_11,c_10,c_8,0.9732,0.08466988
model_2035,c_5,c_7,c_9,m_1,0.9741,0.08059428
model_2036,c_10,c_1,c_8,c_11,0.9754,0.08073824
model_2037,c_2,c_10,c_3,c_2,0.9716,0.08697169
model_2038,c_6,m_2,c_1,c_8,0.9518,0.16430648
model_2039,m_1,c_11,s,-,0.9138,0.30196348
model_2040,m_2,c_12,c_2,s,0.9309,0.21977316
model_2041,c_6,c_5,c_1,c_3,0.9727,0.087965466
model_2042,m_1,c_10,m_3,c_8,0.8901,0.45933267
model_2043,c_6,c_5,m_3,c_10,0.965,0.11768775
model_2044,c_1,c_3,c_11,m_2,0.9733,0.08309487
model_2045,m_2,c_8,c_7,c_5,0.9287,0.2332522
model_2046,c_12,m_3,m_1,s,0.9294,0.2852621
model_2047,m_3,c_11,m_3,m_3,0.7779,0.8042572
model_2048,c_4,m_1,m_2,c_11,0.8988,0.3743238
model_2049,c_1,c_4,m_3,c_4,0.9442,0.1855266
model_2050,m_2,c_9,c_1,c_9,0.9284,0.23163646
model_2051,c_4,m_1,c_8,c_11,0.9499,0.17408593
model_2052,c_5,c_4,c_1,c_9,0.9735,0.0831009
model_2053,c_3,c_3,c_4,c_9,0.9752,0.081362166
model_2054,c_2,c_6,c_3,c_10,0.9739,0.083257094
model_2055,c_5,m_2,c_2,c_6,0.9502,0.16945098
model_2056,m_2,c_9,c_8,c_12,0.9322,0.2233297
model_2057,m_1,c_7,c_11,c_5,0.9388,0.20796348
model_2058,c_11,c_3,m_1,c_8,0.9603,0.13232473
model_2059,c_9,c_8,c_10,c_6,0.9721,0.08069143
model_2060,c_9,c_5,m_1,c_7,0.9605,0.13460733
model_2061,c_8,c_7,m_1,c_3,0.959,0.13822015
model_2062,c_11,c_6,c_6,c_9,0.9719,0.090526
model_2063,c_5,m_3,c_1,s,0.9467,0.18155581
model_2064,m_2,c_5,c_10,c_4,0.93,0.23158225
model_2065,c_11,c_5,c_9,s,0.9714,0.08693528
model_2066,c_3,m_1,c_2,c_8,0.9516,0.16215931
model_2067,m_3,m_2,c_9,c_4,0.5212,1.491784
model_2068,c_6,c_9,c_8,c_2,0.9734,0.08479726
model_2069,c_11,c_6,m_1,m_2,0.9613,0.13197634
model_2070,c_12,c_4,c_1,c_4,0.9725,0.08454323
model_2071,c_2,c_8,c_8,c_1,0.9743,0.08180087
model_2072,c_2,c_1,c_11,m_2,0.9744,0.0818755
model_2073,c_1,c_11,c_6,c_12,0.973,0.085409395
model_2074,c_4,c_1,c_9,s,0.9749,0.08148997
model_2075,c_5,c_8,c_9,c_4,0.9747,0.08118403
model_2076,m_3,c_8,m_1,c_2,0.7878,0.7409298
model_2077,c_12,c_4,c_5,c_3,0.9716,0.087579116
model_2078,c_10,c_5,c_7,c_2,0.9734,0.084423825
model_2079,c_9,c_8,c_1,m_2,0.9724,0.08445846
model_2080,c_10,c_10,m_3,m_2,0.9468,0.18031117
model_2081,m_1,c_1,s,-,0.9148,0.29925638
