Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_328,c_2,c_6,c_5,s,0.7213,0.8121843210220336
model_329,m_1,c_11,c_5,c_1,0.6889,0.926306062412262
model_330,c_11,s,-,-,0.6841,0.946634693145752
model_331,c_9,c_6,c_11,c_10,0.724,0.809991577911377
model_332,c_1,c_5,c_2,c_10,0.7176,0.8453217350959777
model_333,c_8,c_3,c_3,c_2,0.7441,0.7612778426170349
model_334,c_3,m_3,c_8,s,0.7392,0.7729427619934082
model_335,c_1,c_12,m_1,c_7,0.7242,0.8232263192176819
model_336,c_5,c_2,c_1,m_1,0.6814,0.9465988613128662
model_337,c_12,c_6,c_2,c_6,0.7327,0.7785382894515991
model_338,c_10,c_12,c_11,c_7,0.7606,0.7346600438117981
model_339,c_11,c_10,m_3,c_10,0.7717,0.7231780836105347
model_340,c_9,c_11,c_2,c_7,0.7354,0.7820460767745971
model_341,c_4,c_10,c_3,c_3,0.7385,0.7836512778282165
model_342,c_7,c_9,c_12,s,0.6877,1.109152038860321
model_343,c_1,m_3,c_6,c_2,0.6879,0.8919591462135315
model_344,c_5,c_11,c_7,c_6,0.7244,0.8103359268188477
model_345,c_8,c_7,s,-,0.7007,0.8773085196495056
model_346,c_5,c_5,c_10,c_4,0.7469,0.7531257271766663
model_347,c_7,c_9,c_11,c_11,0.7496,0.7627056499481201
model_348,c_4,c_11,c_1,c_8,0.7213,0.8130886882781982
model_349,c_7,c_2,c_11,m_1,0.719,0.8196103137016296
model_350,c_3,c_4,c_3,c_4,0.6993,0.892134693145752
model_351,c_10,c_3,c_4,c_9,0.701,0.8698536364555359
model_352,c_8,c_7,c_7,c_9,0.7257,0.830246381187439
model_353,c_4,s,-,-,0.671,0.9666766644477844
model_354,c_5,m_2,s,-,0.705,0.8604639269828797
model_355,c_12,c_7,c_3,c_11,0.7443,0.768982559967041
model_356,c_12,c_10,c_3,c_3,0.7383,0.7778798167228699
model_357,c_3,c_4,c_11,c_4,0.7041,0.8602331338882446
model_358,c_9,c_5,m_3,c_3,0.7579,0.7093742636680603
model_359,c_5,m_1,c_2,m_2,0.702,0.8677793052673339
model_360,c_11,c_12,s,-,0.706,0.8949709621429444
model_361,c_3,c_8,c_2,c_7,0.7405,0.8014048710346222
model_362,c_1,c_5,m_3,c_1,0.7259,0.7899219560623169
model_363,c_10,c_12,s,-,0.6784,0.9554990869522094
model_364,c_2,m_3,c_3,c_5,0.754,0.7534931206226348
model_365,c_10,c_1,c_5,c_12,0.7247,0.8351222665786743
model_366,c_10,c_9,s,-,0.6977,0.8804154019355774
model_367,c_7,c_12,s,-,0.7081,0.8526553727149964
model_368,c_5,m_1,c_7,c_12,0.7533,0.7687872699737549
model_369,c_12,c_2,m_2,s,0.7298,0.7989054546356201
model_370,c_5,c_2,c_4,c_12,0.7396,0.803525193977356
model_371,c_12,c_4,c_6,c_11,0.7498,0.7797471115112304
model_372,c_7,c_3,c_6,c_11,0.7639,0.7326040149688721
