Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_406,c_7,m_1,c_9,c_10,0.9668,0.11124747
model_407,c_10,c_12,c_2,c_9,0.9795,0.061871637
model_408,c_7,c_7,c_12,c_7,0.982,0.05703213
model_409,c_6,c_12,m_3,c_1,0.9804,0.06486068
model_410,c_11,c_6,c_4,c_3,0.9797,0.06114056
model_411,c_2,c_9,c_1,c_1,0.9804,0.061734635
model_412,c_9,m_1,m_1,m_2,0.9476,0.1828646
model_413,c_11,m_2,c_11,c_12,0.9685,0.10538678
model_414,c_2,m_2,s,-,0.9553,0.15493575
model_415,c_8,c_5,c_8,c_9,0.9805,0.05912255
model_416,c_2,c_12,c_2,c_8,0.9811,0.059067648
model_417,c_11,c_6,m_2,c_5,0.9775,0.071813494
model_418,m_2,c_8,c_7,c_1,0.9503,0.16160053
model_419,c_11,c_6,c_3,c_3,0.9793,0.063089974
model_420,c_2,c_10,m_1,m_1,0.9729,0.08855402
model_421,c_10,c_1,c_4,c_11,0.9794,0.058482286
model_422,c_3,c_7,c_2,c_11,0.9794,0.061482184
model_423,c_1,c_6,c_4,c_11,0.979,0.061356515
model_424,c_5,c_9,m_1,m_3,0.9735,0.08467049
model_425,c_1,c_8,c_9,c_5,0.9809,0.058377888
model_426,c_12,c_9,c_12,c_11,0.98,0.05878454
model_427,c_12,c_7,c_1,c_1,0.9813,0.0615534
model_428,c_7,c_8,c_11,m_2,0.9824,0.056961797
model_429,c_2,c_9,c_10,c_6,0.9805,0.063365474
model_430,c_4,c_1,m_2,c_4,0.9687,0.09814972
model_431,s,-,-,-,0.9111,0.328965
model_432,c_4,c_8,c_4,c_1,0.9818,0.057535842
model_433,c_4,c_9,c_4,c_12,0.9791,0.06377165
model_434,c_7,c_6,c_3,c_10,0.9811,0.058992337
model_435,c_10,c_1,c_1,c_9,0.9808,0.05890519
model_436,c_4,c_5,c_3,c_11,0.9787,0.06371457
model_437,m_3,m_2,c_8,c_8,0.2822,1.9728407
model_438,m_2,c_9,c_12,m_3,0.9523,0.1554691
model_439,c_2,c_1,c_5,m_3,0.98,0.060029786
model_440,c_5,m_1,c_4,s,0.9682,0.11000184
model_441,c_9,c_4,c_1,m_1,0.9805,0.06112919
model_442,c_12,c_7,c_8,c_1,0.9781,0.06450724
model_443,c_10,c_5,c_12,c_1,0.9808,0.056870867
model_444,c_6,c_4,s,-,0.9764,0.07490824
model_445,c_2,c_4,c_5,m_2,0.9812,0.057710864
model_446,c_4,c_7,m_3,c_5,0.9699,0.10025263
model_447,c_11,c_2,c_8,c_10,0.9803,0.06196759
model_448,c_8,m_1,c_9,c_2,0.9685,0.10769735
model_449,c_5,c_7,c_10,s,0.9812,0.060868885
model_450,c_6,c_10,c_1,c_7,0.9784,0.062939405
model_451,c_4,m_2,c_8,m_3,0.9635,0.11972558
model_452,c_12,c_6,s,-,0.9772,0.074119575
model_453,c_9,c_1,c_10,m_2,0.9805,0.06031774
model_454,c_4,c_5,c_12,c_1,0.9786,0.067070335
model_455,c_4,c_10,c_10,m_1,0.9822,0.055473067
model_456,c_1,c_3,s,-,0.9777,0.07301677
model_457,c_11,c_1,c_5,c_12,0.9804,0.058833327
model_458,c_5,c_3,c_11,c_3,0.9794,0.062192272
model_459,c_7,c_10,c_1,c_2,0.9817,0.059192676
model_460,m_3,c_2,c_3,c_6,0.8705,0.3969118
model_461,c_1,c_1,m_1,m_3,0.9708,0.09424558
model_462,c_4,c_5,c_12,s,0.9807,0.061618514
model_463,c_7,c_11,c_5,c_2,0.9787,0.06000887
model_464,c_10,c_1,c_11,c_6,0.9815,0.060916666
