EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_92,c_7,c_2,c_10,c_12,0.7583,0.7303047463
episode_93,c_7,c_12,s,-,0.7081,0.8526553727
episode_93,c_7,c_12,s,-,0.7261,0.8198903063
episode_94,c_8,c_11,c_12,c_8,0.7666,0.7129476029
episode_95,c_7,m_1,c_4,c_1,0.7028,0.8705081628
episode_96,c_7,c_9,c_11,c_6,0.7354,0.7738984372
episode_97,c_3,c_5,s,-,0.7028,0.8758703238
episode_98,c_6,m_1,s,-,0.711,0.8612067211
episode_99,c_1,c_5,c_8,c_2,0.7282,0.8328195712
episode_100,c_7,m_1,c_9,c_10,0.7483,0.761277498
episode_101,c_5,c_3,c_6,c_9,0.7147,0.8642854575
episode_102,c_8,c_11,m_2,c_1,0.7393,0.7671522031
episode_103,c_11,c_1,m_3,m_1,0.7262,0.8111765959
episode_104,c_5,c_8,c_12,m_3,0.7169,0.82753003
episode_105,c_6,m_3,c_9,c_11,0.7832,0.6501892401
episode_106,c_11,c_6,c_8,m_2,0.7314,0.7863259398
episode_107,c_9,c_10,s,-,0.7011,0.8853812638
episode_108,c_8,c_10,c_4,c_11,0.7327,0.8007753844
episode_109,c_7,c_5,c_4,c_10,0.7288,0.8193512447
episode_110,c_11,c_5,c_7,m_2,0.7345,0.7882099216
episode_111,c_4,c_5,m_3,c_2,0.7104,0.8354599511
episode_112,c_3,c_1,c_6,m_3,0.721,0.8069136542
episode_113,c_6,c_3,c_3,c_1,0.7346,0.7870796384
episode_114,c_9,m_2,m_2,c_2,0.7149,0.8308344697
episode_115,c_4,c_9,c_11,c_3,0.7417,0.7592806885
episode_116,m_1,m_2,c_4,c_5,0.6725,0.9412686082
episode_117,c_11,c_11,c_6,c_7,0.7227,0.8183976976
episode_118,c_2,c_7,m_2,c_8,0.7222,0.8051841713
episode_119,c_6,m_3,c_9,m_2,0.7261,0.7827118906
episode_120,c_11,c_11,c_9,c_10,0.738,0.8011596905
episode_121,c_9,m_2,m_1,c_7,0.739,0.7790494974
episode_122,c_3,c_6,c_1,m_2,0.6813,0.9156428357
episode_123,c_2,c_1,c_10,c_8,0.7034,0.8915609694
episode_124,m_1,c_7,c_11,c_9,0.7106,0.937867742
episode_125,c_2,c_5,c_5,c_7,0.7198,0.8222274322
episode_126,c_2,c_11,c_11,m_2,0.7043,0.8947805203
episode_127,c_2,c_8,m_3,c_4,0.7349,0.7659013645
episode_128,c_5,c_4,c_4,c_11,0.706,0.8899975504
episode_129,c_12,c_6,m_2,m_3,0.7548,0.7268474554
episode_130,c_6,c_7,c_2,c_1,0.6972,0.8970665266
episode_131,c_4,c_7,c_10,c_3,0.7226,0.8149588659
episode_132,c_1,c_2,m_3,m_2,0.7024,0.8715403479
episode_133,c_8,c_6,c_8,c_7,0.7109,0.9382096507
episode_134,c_10,c_7,m_2,c_8,0.7374,0.7604970471
episode_135,c_2,c_6,c_5,s,0.7213,0.812184321
episode_136,c_8,c_8,c_6,c_4,0.751,0.7918688383
episode_137,c_12,c_5,c_8,c_4,0.7453,0.7687450197
episode_138,c_2,c_2,c_4,c_1,0.7161,0.8236143051
episode_139,c_1,m_3,c_11,c_2,0.738,0.7620108969
episode_140,c_10,c_1,c_1,s,0.678,0.9409360253
episode_141,c_7,c_3,c_5,c_12,0.7288,0.8711289335
episode_142,c_9,c_4,c_6,c_2,0.7239,0.8449650784
episode_143,c_11,c_1,s,-,0.6648,0.9658538896
episode_143,c_11,c_1,s,-,0.6999,0.8998106122
episode_144,c_11,c_6,c_7,m_3,0.7393,0.7592977126
episode_145,c_7,c_7,c_3,c_10,0.7328,0.803633564
episode_146,c_11,c_8,c_2,c_7,0.7296,0.8234360091
episode_147,c_8,c_4,s,-,0.6848,0.9017666427
episode_147,c_8,c_4,s,-,0.7012,0.8856213157
episode_148,c_9,c_11,c_8,c_6,0.7442,0.7630780788
episode_149,c_2,m_3,c_9,c_1,0.7628,0.7070952824
episode_150,c_9,c_11,c_5,c_11,0.7124,0.9090737953
episode_151,c_7,c_6,c_11,c_8,0.7435,0.7630189577
episode_152,c_10,m_1,c_4,c_11,0.739,0.7732443058
episode_153,c_9,c_7,s,-,0.7022,0.8965753549
episode_153,c_9,c_7,s,-,0.6685,0.995799735
episode_154,c_8,c_6,m_1,m_3,0.7281,0.8073756664
episode_155,c_2,c_7,c_1,c_4,0.7002,0.8892723557
episode_156,c_7,c_10,c_5,c_5,0.7354,0.793348402
episode_157,c_10,c_12,c_11,c_7,0.7606,0.7346600438
episode_158,c_5,c_9,c_3,c_11,0.7416,0.8519901667
episode_159,c_5,c_7,c_3,c_6,0.7155,0.8433741025
episode_160,c_6,c_9,c_6,c_6,0.7541,0.7287921838
episode_161,c_5,m_3,m_2,c_12,0.7156,0.8246446155
episode_162,c_8,c_2,c_6,c_6,0.7421,0.7755582386
episode_163,c_10,c_9,m_1,s,0.7264,0.8071827404
episode_164,c_11,c_6,m_2,c_2,0.7481,0.7643162394
episode_165,c_2,m_3,c_8,c_3,0.7591,0.7220356972
episode_166,c_7,m_1,m_2,c_6,0.7413,0.7792871591
episode_167,m_1,c_7,m_1,m_2,0.6084,1.1114373125
episode_168,c_3,c_6,c_5,c_8,0.7241,0.817873143
episode_169,c_5,c_6,c_11,c_7,0.7558,0.7378811741
episode_170,c_5,c_9,c_3,c_4,0.7401,0.7828069387
episode_171,c_9,m_3,c_8,c_11,0.7711,0.7193366932
episode_172,c_2,c_1,c_12,c_9,0.7382,0.7760415648
episode_173,c_12,c_9,c_3,m_1,0.7563,0.7240177765
episode_174,c_7,c_1,c_5,c_2,0.7165,0.8436643237
episode_175,c_5,m_2,c_8,c_3,0.7447,0.7732150639
episode_176,c_12,c_2,c_12,m_2,0.7423,0.7626180931
episode_177,c_10,m_3,m_3,c_1,0.7247,0.8120008371
episode_178,c_1,c_10,c_7,c_2,0.7236,0.8044521817
episode_179,c_4,c_1,c_7,c_2,0.6979,0.8998645809
episode_180,c_12,c_10,c_3,c_3,0.7383,0.7778798167
episode_181,c_3,m_2,c_2,c_9,0.746,0.7352220037
episode_182,c_1,c_1,m_2,c_8,0.7232,0.8060328196
episode_183,c_2,c_4,c_9,c_8,0.7435,0.7618846831
episode_184,c_2,c_6,c_7,c_2,0.7154,0.854589181
episode_185,c_2,s,-,-,0.6772,0.9486585265
episode_185,c_2,s,-,-,0.6899,0.9436688982
episode_186,c_9,c_11,c_7,m_3,0.7087,0.8927543093
episode_187,c_2,c_5,s,-,0.7029,0.8936433578
episode_188,c_3,m_1,c_5,c_6,0.7314,0.7829235833
episode_189,c_2,c_5,m_3,c_8,0.7278,0.7953279351
episode_190,m_1,c_6,c_8,c_10,0.6903,0.905122327
episode_191,c_10,c_2,m_3,c_8,0.7454,0.7400028546
episode_192,c_9,c_7,s,-,0.7022,0.8965753549
episode_192,c_9,c_7,s,-,0.6685,0.995799735
episode_193,c_12,m_3,c_11,c_10,0.7916,0.63901881
episode_194,c_6,m_3,c_8,s,0.7381,0.7739884102
episode_195,c_10,m_1,c_4,c_11,0.739,0.7732443058
episode_196,c_9,c_7,c_10,c_5,0.7101,0.8781219827
episode_197,c_5,c_11,m_3,m_2,0.7381,0.7444478851
episode_198,c_8,m_3,c_12,c_12,0.7729,0.7123670655
episode_199,c_8,c_11,c_10,c_2,0.7533,0.7903001865
episode_200,c_12,c_2,c_12,m_2,0.7423,0.7626180931
episode_201,c_4,m_1,c_7,c_5,0.737,0.7868890296
episode_202,c_1,c_1,c_4,s,0.7083,0.8586752849
episode_203,c_12,c_8,m_1,m_3,0.7363,0.7700016438
episode_204,c_10,m_1,c_7,c_12,0.7609,0.7327970257
episode_205,c_1,c_12,c_11,c_12,0.7669,0.6988646129
episode_206,c_4,m_1,m_3,c_4,0.6914,0.9267254698
episode_207,c_1,c_6,c_7,s,0.7159,0.8354594097
episode_208,c_2,m_2,c_6,c_6,0.7641,0.7246577671
episode_209,c_8,m_3,c_11,c_6,0.7635,0.7100142729
episode_210,c_2,m_3,c_8,c_6,0.7371,0.7709150921
episode_211,c_9,c_2,c_3,m_3,0.7154,0.8192665898
episode_212,c_3,m_1,m_3,m_2,0.6727,0.9922747056
episode_213,c_9,m_1,c_10,c_4,0.7459,0.7662300817
episode_214,c_4,m_2,c_11,c_2,0.7366,0.7918611801
episode_215,c_4,c_5,c_3,c_3,0.7329,0.7712995602
episode_216,c_7,c_9,c_5,c_12,0.6895,0.998207092
episode_217,c_6,c_4,s,-,0.6731,0.937131893
episode_217,c_6,c_4,s,-,0.6979,0.9253407131
episode_217,c_6,c_4,s,-,0.684,0.9104518469
episode_218,c_7,c_9,c_2,m_2,0.738,0.7884788572
episode_219,c_1,m_3,m_2,c_5,0.6873,0.9039675798
episode_220,c_2,c_5,c_4,c_3,0.7176,0.8333778988
episode_221,c_5,c_4,c_10,c_12,0.7481,0.7525218474
episode_222,c_3,c_3,c_10,c_9,0.7396,0.7805715912
episode_223,c_4,c_7,c_3,c_6,0.7371,0.7863302718
episode_223,c_4,c_7,c_3,c_6,0.7288,0.8192272733
episode_224,c_12,c_3,c_5,c_8,0.7476,0.7550336497
episode_225,c_1,c_1,c_6,c_7,0.6963,0.9306928176
episode_226,c_12,c_8,m_1,m_3,0.7363,0.7700016438
episode_227,c_10,c_12,c_2,c_7,0.7501,0.7609769917
episode_228,c_1,c_5,c_12,c_6,0.7439,0.7546769404
episode_229,c_5,m_2,c_5,m_3,0.7327,0.7943757248
episode_230,c_10,c_3,c_4,c_9,0.701,0.8698536365
episode_231,c_5,c_3,c_9,c_8,0.7236,0.8403343574
episode_232,c_10,c_4,c_3,m_3,0.7111,0.8283148057
episode_233,c_8,c_7,c_6,c_12,0.7285,0.8525561927
episode_234,m_2,c_8,m_3,s,0.6891,0.897268104
episode_235,c_10,c_5,m_2,s,0.7171,0.8623568889
