Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1088,c_12,m_1,c_12,c_7,0.9529,0.162757
model_1089,c_11,c_3,m_1,c_1,0.9614,0.133422
model_1090,c_10,c_5,c_11,c_1,0.9743,0.079033
model_1091,m_3,c_2,c_6,c_1,0.8344,0.518689
model_1092,m_3,c_5,c_6,c_1,0.8393,0.508623
model_1093,c_5,c_12,c_7,c_9,0.9726,0.0822693
model_1094,c_9,c_5,c_1,c_1,0.9734,0.0840343
model_1095,m_1,c_6,c_1,c_8,0.9347,0.22355
model_1096,c_10,c_9,m_3,c_9,0.9687,0.108625
model_1097,c_9,m_2,s,-,0.9425,0.208359
model_1098,c_12,c_10,c_9,c_4,0.9732,0.0863867
model_1099,c_10,m_2,m_3,c_9,0.7502,1.20433
model_1100,m_3,c_3,c_3,m_2,0.8344,0.513167
model_1101,c_7,c_6,c_1,m_1,0.9739,0.088348
model_1102,c_7,c_3,c_5,c_6,0.9736,0.0832722
model_1103,m_2,c_5,c_9,m_2,0.9345,0.221932
model_1104,c_12,c_5,c_10,c_1,0.9739,0.0806472
model_1105,c_8,m_1,c_11,c_9,0.9527,0.16335
model_1106,c_1,m_1,m_1,c_10,0.894,0.376971
model_1107,c_7,c_9,m_1,c_11,0.9618,0.133397
model_1108,c_12,m_2,c_9,c_11,0.9561,0.153285
model_1109,c_4,c_1,m_2,c_6,0.9568,0.149135
model_1110,c_5,c_2,c_7,c_7,0.9735,0.0826645
model_1111,c_2,c_9,c_1,c_9,0.9731,0.0865388
model_1112,c_7,c_8,c_5,c_7,0.9743,0.0831742
model_1113,m_3,c_5,c_12,c_4,0.8416,0.510166
model_1114,c_8,m_2,c_1,c_1,0.9513,0.167785
model_1115,c_6,c_12,c_6,c_11,0.972,0.0886649
model_1116,c_3,c_8,c_7,c_5,0.9727,0.0864552
model_1117,c_7,c_7,c_12,c_2,0.9745,0.080041
model_1118,c_7,c_6,c_12,c_1,0.974,0.080193
model_1119,c_7,c_3,s,-,0.9679,0.108939
model_1120,c_5,m_3,c_4,c_12,0.931,0.234334
model_1121,c_2,c_9,c_2,c_5,0.975,0.084216
model_1122,c_2,c_5,m_1,c_9,0.9613,0.133378
model_1123,c_2,c_9,c_3,c_8,0.9734,0.0846027
model_1124,c_11,c_8,c_4,c_2,0.9743,0.0846447
model_1125,m_1,c_9,c_11,c_12,0.9343,0.218526
model_1126,c_11,m_3,c_11,c_7,0.9495,0.178872
model_1127,c_7,m_1,c_1,c_3,0.9483,0.173094
model_1128,c_1,c_2,m_3,c_3,0.9674,0.115244
model_1129,c_4,c_7,m_2,c_8,0.9561,0.148678
model_1130,c_7,c_7,m_3,c_10,0.9534,0.165188
model_1131,c_10,c_4,c_12,m_2,0.9732,0.0820505
model_1132,c_4,m_2,s,-,0.9264,0.25917
model_1133,m_2,c_4,c_2,s,0.9354,0.219262
model_1134,c_8,m_3,c_2,c_12,0.9487,0.177123
model_1135,c_7,c_2,m_1,c_2,0.9572,0.145039
model_1136,c_1,m_3,c_9,m_1,0.9317,0.234074
model_1137,c_4,m_2,c_11,m_2,0.9488,0.173903
model_1138,c_12,m_2,c_7,c_3,0.9522,0.165162
model_1139,c_3,c_7,c_3,c_10,0.9727,0.0827604
model_1140,m_3,c_6,m_1,c_5,0.7523,0.829931
model_1141,m_3,c_5,c_9,s,0.8377,0.515298
model_1142,m_2,m_2,c_4,c_12,0.6632,1.0376
model_1143,c_6,m_3,m_3,c_9,0.6829,1.56588
model_1144,m_2,c_1,c_6,m_2,0.9336,0.218875
model_1145,c_12,c_3,c_7,c_10,0.9722,0.0866232
model_1146,c_4,c_3,c_6,c_4,0.9737,0.0822347
model_1147,c_2,m_1,m_2,s,0.9227,0.292167
model_1148,m_3,c_1,c_5,c_10,0.8396,0.504642
model_1149,c_11,c_1,c_5,m_2,0.9728,0.082647
model_1150,c_9,c_6,s,-,0.9669,0.106367
model_1151,c_3,c_2,c_2,c_11,0.9707,0.0879648
model_1152,c_6,c_3,c_4,s,0.9714,0.0857618
model_1153,c_7,c_12,c_11,c_5,0.9726,0.082109
model_1154,c_6,c_8,c_3,s,0.9722,0.0883543
model_1155,c_3,c_12,c_11,c_6,0.9742,0.0808262
model_1156,m_2,c_8,c_2,c_12,0.9319,0.224559
model_1157,c_10,c_5,c_2,c_3,0.9746,0.082929
model_1158,c_7,c_7,c_8,m_3,0.9747,0.080602355
model_1159,c_2,c_7,c_9,c_2,0.9706,0.091446094
model_1160,c_2,c_10,c_4,c_12,0.9748,0.08039793
model_1161,m_1,m_3,m_2,c_12,0.1135,2.3010745
model_1162,c_1,c_6,c_9,c_8,0.9742,0.08174273
model_1163,c_6,m_1,c_2,c_7,0.951,0.16430347
model_1164,m_1,c_7,c_8,s,0.9368,0.21013282
model_1165,c_4,c_7,c_9,c_7,0.9742,0.08384598
model_1166,c_1,c_4,s,-,0.9672,0.113105156
model_1167,c_2,c_10,c_12,c_10,0.9732,0.08103811
model_1168,c_7,c_8,c_10,c_9,0.9757,0.081734866
model_1169,c_2,c_6,c_1,c_4,0.9719,0.08587848
model_1170,c_4,c_6,c_11,c_1,0.9721,0.08402068
