Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_2000,c_3,c_10,c_11,c_10,0.7062,0.8614895272254944
model_2001,c_1,m_3,s,-,0.6825,0.9128889496803284
model_2002,c_7,m_3,c_4,c_3,0.7103,0.8731188665390015
model_2003,c_4,c_1,c_1,-,0.6881,0.9360820224761963
model_2004,c_11,m_2,c_7,c_9,0.7633,0.7050441341400147
model_2005,c_5,c_2,c_8,s,0.6918,0.9082117248535156
model_2006,c_2,c_1,c_6,c_1,0.7049,0.8672762578010559
model_2007,c_12,c_12,c_2,m_3,0.7458,0.7380938772201538
model_2008,c_12,c_1,m_3,c_7,0.7366,0.7619216081619262
model_2009,c_9,m_3,s,-,0.7393,0.7728938095092773
