Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_501,c_11,c_6,c_9,c_12,0.7554,0.7302884949684143
model_502,c_11,c_2,c_6,c_12,0.7265,0.8232517676353455
model_503,c_12,c_2,c_9,c_12,0.7411,0.7595372976303101
model_504,c_9,m_3,c_10,c_10,0.7703,0.6750731440544129
model_505,c_12,m_3,c_9,c_1,0.7782,0.6743278958797455
model_506,c_2,c_11,m_1,m_1,0.7327,0.7872689456939698
model_507,c_9,c_3,c_1,c_11,0.7368,0.7852584968566895
model_508,c_12,c_7,c_3,c_4,0.7156,0.8559521379470825
model_509,c_11,m_2,c_3,c_4,0.7394,0.7634431200027466
model_510,c_5,c_8,c_4,m_1,0.7029,0.8489739114761352
model_511,c_7,c_1,c_5,c_2,0.7165,0.8436643237113952
model_512,c_8,m_2,m_2,c_6,0.747,0.7561304347991943
model_513,c_12,c_1,c_7,c_12,0.707,0.8447198478698731
model_514,c_3,c_11,c_12,s,0.7405,0.7694703113079071
model_515,c_3,c_12,m_3,c_8,0.7648,0.6802476861953736
model_516,c_9,c_11,c_1,c_8,0.723,0.8499726418495178
model_517,c_12,c_12,c_11,m_2,0.7476,0.7528800495147705
model_518,c_5,c_12,c_9,c_1,0.7434,0.7715346405029296
model_519,c_1,c_5,c_12,c_6,0.7439,0.7546769404411315
model_520,c_12,c_2,m_1,c_6,0.7546,0.7163194772720337
model_521,c_7,c_11,c_5,c_5,0.7401,0.7677197903633117
model_522,c_7,c_8,c_9,m_2,0.7443,0.7764315757274628
model_523,c_7,c_11,c_3,c_6,0.7384,0.7971857333183289
model_524,c_3,c_8,c_2,m_3,0.7249,0.8030630384445191
model_525,c_2,c_10,m_1,s,0.7145,0.8272861924171447
model_526,c_10,m_1,c_8,m_3,0.7502,0.740760942363739
model_527,c_6,c_8,c_5,c_9,0.7459,0.7910265608787537
model_528,c_7,c_9,c_1,m_3,0.7156,0.8266182184219361
model_529,c_6,c_4,c_10,m_1,0.7124,0.8583398746490478
model_530,c_5,c_4,s,-,0.6963,0.8939770220756531
model_531,c_1,c_5,c_10,m_3,0.719,0.8224454921722412
model_532,c_6,c_4,c_4,m_3,0.7253,0.797657841014862
model_533,c_6,c_9,c_4,c_10,0.7349,0.789613620185852
model_534,c_11,m_2,c_4,c_4,0.7497,0.7403308847427368
model_535,c_1,c_2,s,-,0.6868,0.9153530474662781
model_536,c_5,c_9,c_3,c_11,0.7416,0.8519901666641235
model_537,c_1,c_3,c_2,c_6,0.7293,0.8238843574523925
model_538,c_8,c_9,c_4,c_5,0.6956,0.9349837032318116
model_539,c_6,m_3,c_7,m_1,0.7235,0.7941912260055543
model_540,c_11,m_1,c_1,c_6,0.7497,0.7601618339538574
model_541,c_10,c_1,c_12,c_3,0.7562,0.7502610938072205
model_542,c_11,m_2,c_1,c_10,0.768,0.725674325466156
model_543,c_6,m_3,c_4,c_6,0.718,0.8406937512397766
model_544,c_9,c_2,c_6,m_3,0.7413,0.7577189135551453
model_545,m_3,c_4,c_4,-,0.6661,0.9706869173049927
model_546,c_8,c_2,c_3,c_6,0.71,0.8534429258346558
model_547,c_10,m_1,c_5,c_9,0.7771,0.7056916100025177
model_548,c_9,c_10,m_1,c_10,0.7203,0.805166005897522
model_549,c_12,c_6,c_6,c_6,0.7322,0.850642798280716
model_550,c_3,c_7,c_10,m_2,0.7019,0.8741518708229065
model_551,c_2,c_8,c_11,c_3,0.7055,0.9049764172554016
model_552,c_4,c_5,c_6,c_2,0.7237,0.8031814426422119
model_553,c_7,c_3,c_3,s,0.7216,0.8536451238632202
model_554,c_8,c_2,c_7,c_7,0.7087,0.8417724081039428
model_555,c_4,c_6,c_10,c_8,0.6974,0.9315878422737122
