Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1501,c_7,c_10,c_3,c_3,0.755,0.7588888178825378
model_1502,c_10,c_12,s,-,0.7299,0.8088295501708984
model_1503,m_2,c_9,c_3,s,0.7315,0.8090381733894348
model_1504,c_7,c_11,c_8,c_4,0.7384,0.768436773109436
model_1505,c_6,c_1,c_1,c_3,0.7167,0.8240963506698609
model_1506,c_11,c_6,c_5,c_8,0.7252,0.8317349276542664
model_1507,c_4,c_7,c_11,m_1,0.6989,0.8678003503799439
model_1508,c_7,m_1,c_10,s,0.718,0.8843431915283203
model_1509,c_10,c_10,c_10,c_10,0.6979,0.9348630374908448
model_1510,c_7,c_2,m_2,c_1,0.6902,0.8912163958549499
model_1511,c_10,m_2,c_4,c_11,0.7719,0.6964072891235351
model_1512,c_7,c_10,s,-,0.6916,0.9464999840736389
model_1513,c_7,c_6,c_11,m_2,0.6854,0.9033991163253784
model_1514,c_6,c_8,c_6,s,0.7153,0.8297797810554505
model_1515,c_12,c_12,c_3,m_3,0.7529,0.7559680154323578
model_1516,c_3,c_8,s,-,0.7097,0.8780728520393372
model_1517,c_2,c_6,c_5,c_11,0.7263,0.856363417339325
model_1518,c_12,m_3,c_8,c_6,0.7383,0.7820859288692474
model_1519,c_6,m_3,c_9,m_2,0.6979,0.8649736115455627
model_1520,c_9,c_7,s,-,0.7223,0.8328459156036377
model_1521,c_5,c_6,c_3,c_8,0.7521,0.7436889370918274
model_1522,c_9,c_5,c_2,m_1,0.7301,0.7941263622283935
model_1523,c_12,m_2,c_1,c_1,0.7126,0.856328145980835
model_1524,c_3,c_4,c_9,c_6,0.7542,0.7366687239646912
model_1525,c_4,c_5,c_10,c_11,0.7364,0.8028832419395446
model_1526,c_5,m_3,c_4,c_5,0.7336,0.8119847402572632
model_1527,c_6,c_7,c_2,c_1,0.6796,0.9352781003952026
model_1528,c_7,c_8,c_11,c_2,0.7242,0.8089296401023864
model_1529,c_1,c_9,m_1,c_9,0.7236,0.7922314699172973
model_1530,c_1,c_4,m_1,c_3,0.7397,0.7926291997909546
model_1531,c_8,m_3,c_9,c_12,0.7807,0.6657642158508301
model_1532,c_5,m_2,c_3,c_10,0.731,0.7884546275138855
model_1533,c_10,c_10,c_3,c_2,0.7314,0.7981662350654603
model_1534,c_12,c_2,c_12,m_2,0.7244,0.8544409301757813
model_1535,c_6,c_9,c_2,c_8,0.7449,0.7825022917270661
model_1536,c_10,m_1,c_4,c_11,0.7544,0.7437917760372161
model_1537,c_2,c_12,c_1,m_2,0.7056,0.8574704813957215
model_1538,c_6,c_5,s,-,0.6772,1.0222570178985595
model_1539,c_1,c_9,c_9,c_4,0.7334,0.7938648978233337
model_1540,c_10,c_5,c_10,c_6,0.7382,0.7990231559753418
model_1541,c_2,m_2,m_2,c_9,0.721,0.8104710207939148
model_1542,m_3,c_2,c_8,m_2,0.7136,0.845378359413147
model_1543,c_2,m_1,c_11,c_9,0.757,0.7703935015678406
model_1544,c_12,c_7,c_1,c_3,0.7229,0.8148401591300964
model_1545,c_8,c_6,c_10,c_4,0.7095,0.9479937899589539
model_1546,c_4,c_4,c_2,c_10,0.7052,0.8730523629188538
model_1547,c_10,s,-,-,0.6915,0.9097135676383972
model_1548,m_1,c_3,m_2,s,0.6984,0.886364693069458
model_1549,c_10,c_8,c_11,c_9,0.7492,0.7513150660514831
model_1550,c_2,c_2,c_2,c_2,0.7222,0.8358058980941773
model_1551,c_11,c_9,c_2,c_11,0.6891,0.9096947248458862
model_1552,c_6,c_6,c_5,c_4,0.7144,0.8321379590988159
model_1553,c_2,c_6,c_1,c_12,0.7192,0.8649433046817779
model_1554,c_7,c_12,c_4,c_2,0.724,0.8175012531280518
model_1555,c_3,c_11,c_6,m_2,0.7486,0.7443724374771118
model_1556,c_2,m_2,c_11,c_7,0.7478,0.767576963186264
model_1557,c_2,c_11,c_1,m_1,0.7402,0.7746476594924927
model_1566,c_11,c_4,c_4,s,0.711,0.8548653651237488
model_1567,c_7,c_12,s,-,0.7261,0.8198903062820434
model_1568,c_11,c_9,m_3,c_9,0.7782,0.6462198762893677
