Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1528,c_7,c_8,c_11,c_2,0.7344,0.7762379346847534
model_1529,c_1,c_9,m_1,c_9,0.7646,0.7128295019149781
model_1530,c_1,c_4,m_1,c_3,0.7131,0.8577371960639953
model_1531,c_8,m_3,c_9,c_12,0.7845,0.6659585208415985
model_1532,c_5,m_2,c_3,c_10,0.7265,0.8181242389678955
model_1533,c_10,c_10,c_3,c_2,0.7414,0.7779434105873108
model_1534,c_12,c_2,c_12,m_2,0.7423,0.7626180931091309
model_1535,c_6,c_9,c_2,c_8,0.7323,0.810115030670166
model_1536,c_10,m_1,c_4,c_11,0.739,0.7732443058013916
model_1537,c_2,c_12,c_1,m_2,0.7231,0.8103874974250793
model_1538,c_6,c_5,s,-,0.7235,0.8606172225952149
model_1539,c_1,c_9,c_9,c_4,0.715,0.8576064130783081
model_1540,c_10,c_5,c_10,c_6,0.7262,0.814128304862976
model_1541,c_2,m_2,m_2,c_9,0.7491,0.7753818287849427
model_1542,m_3,c_2,c_8,m_2,0.6998,0.8820414794921875
model_1543,c_2,m_1,c_11,c_9,0.7627,0.7243173011302948
model_1544,c_12,c_7,c_1,c_3,0.7462,0.7590766714096069
model_1545,c_8,c_6,c_10,c_4,0.7235,0.818354330253601
model_1546,c_4,c_4,c_2,c_10,0.7056,0.8688353784561157
model_1547,c_10,s,-,-,0.6805,0.9376375953674316
model_1548,m_1,c_3,m_2,-,0.6867,0.9185542938232422
model_1549,c_10,c_8,c_11,c_9,0.7071,0.9250232704162598
model_1550,c_2,c_2,c_2,c_2,0.7023,0.9087733493804931
model_1551,c_11,c_9,c_2,c_11,0.7238,0.8402155327796936
model_1552,c_6,c_6,c_5,c_4,0.71,0.8619048815727234
model_1553,c_2,c_6,c_1,c_12,0.7134,0.8425831398010254
model_1554,c_7,c_12,c_4,c_2,0.7547,0.7554562722206116
model_1555,c_3,c_11,c_6,m_2,0.7095,0.8423264822006226
model_1556,c_2,m_2,c_11,c_7,0.7297,0.8860472110271453
model_1557,c_2,c_11,c_1,m_1,0.7181,0.8346988832473755
