Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_9,c_6,c_1,-,0.7223,0.8257313487052917
model_2,c_9,c_6,c_2,-,0.7491,0.7552993671417236
model_3,c_9,c_6,c_3,-,0.7364,0.7828789610862732
model_4,c_9,c_6,c_4,-,0.7074,0.8616368426322937
model_5,c_9,c_6,c_5,-,0.7287,0.7986061311721802
model_6,c_9,c_6,c_6,-,0.6955,0.9230237266540527
model_7,c_9,c_6,c_7,-,0.7412,0.7749074555397034
model_8,c_9,c_6,c_8,-,0.7061,0.9180874579429626
model_9,c_9,c_6,c_9,-,0.7254,0.8176210809707641
model_10,c_9,c_6,c_10,-,0.731,0.7994981464385986
model_11,c_9,c_6,c_11,-,0.7309,0.8230694088935852
model_12,c_9,c_6,c_12,-,0.7318,0.8181343853473664
model_13,c_9,c_6,m_1,-,0.7175,0.8490569090843201
model_14,c_9,c_6,m_2,-,0.74,0.767333451461792
model_15,c_9,c_6,m_3,-,0.7285,0.7899537538528443
model_16,c_9,c_6,s,-,0.7079,0.859993545627594
