episode_2657,c_5,c_8,c_5,c_7,0.9729,0.08528948,model_2581
episode_2658,s,-,-,-,0.9111,0.328965,model_431
episode_2659,m_3,m_1,c_9,c_7,0.6079,1.2004235,model_2582
episode_2660,c_1,c_12,c_8,c_5,0.9731,0.0852537,model_2583
episode_2661,c_10,c_5,m_2,c_1,0.9622,0.13120002,model_2584
episode_2662,c_9,c_8,c_6,c_1,0.9733,0.08391216,model_2585
episode_2663,c_4,c_8,m_2,m_1,0.9605,0.13113694,model_2586
episode_2664,c_8,m_1,m_3,c_1,0.8995,0.399153,model_2587
episode_2665,c_5,c_7,c_4,c_8,0.9735,0.08242224,model_2588
episode_2666,m_3,c_3,c_8,c_4,0.8573,0.46129552,model_2589
episode_2667,m_3,s,-,-,0.7908,0.7308557,model_691
episode_2667,m_3,s,-,-,0.7882,0.7370571,model_1079
episode_2668,c_12,c_9,c_6,s,0.9721,0.08459989,model_2590
episode_2669,c_9,c_12,c_5,c_9,0.9742,0.08688245,model_2591
episode_2670,c_5,c_5,c_7,m_1,0.9741,0.079549074,model_2592
episode_2671,c_1,m_2,c_5,c_1,0.949,0.17114213,model_2593
episode_2672,c_5,c_10,c_9,c_3,0.9739,0.08210027,model_2594
episode_2673,c_5,c_1,c_5,c_2,0.9741,0.0829832,model_2595
episode_2674,c_5,c_2,c_3,c_2,0.974,0.0791254,model_2596
episode_2675,c_4,c_2,m_2,m_1,0.9574,0.14031096,model_2597
episode_2676,c_5,c_4,c_12,c_8,0.9744,0.08078841,model_2598
episode_2677,c_5,c_4,c_6,c_1,0.9736,0.08681169,model_2599
episode_2678,c_5,c_8,c_5,c_3,0.974,0.08294911,model_2600
episode_2679,c_1,c_8,c_12,m_2,0.9736,0.08190934,model_2601
episode_2680,c_5,c_1,c_5,m_3,0.9717,0.08555897,model_2602
episode_2681,c_2,c_1,c_7,c_6,0.9745,0.080386944,model_2603
episode_2682,c_2,s,-,-,0.962,0.13089815,model_250
episode_2682,c_2,s,-,-,0.9618,0.1329981,model_1043
episode_2683,c_12,c_3,c_9,m_1,0.9703,0.09331947,model_2604
episode_2684,s,-,-,-,0.9111,0.328965,model_431
episode_2685,c_5,c_8,c_6,c_5,0.9747,0.07898667,model_2605
episode_2686,c_5,c_8,c_9,c_1,0.9744,0.08566397,model_2606
episode_2687,c_8,c_2,c_4,c_5,0.9729,0.08732625,model_2607
episode_2688,c_9,m_3,c_1,s,0.9556,0.1522471,model_2608
episode_2689,c_5,c_7,c_12,c_11,0.9737,0.08168657,model_2609
episode_2690,c_6,c_8,c_3,m_3,0.9716,0.09049989,model_2610
episode_2691,c_12,s,-,-,0.9625,0.13331962,model_41
episode_2692,m_1,c_9,m_2,c_1,0.9267,0.27781087,model_2611
episode_2693,c_5,c_8,c_5,c_8,0.9755,0.0773185,model_2612
episode_2694,c_4,c_8,s,-,0.9678,0.106979765,model_2613
episode_2695,m_1,c_12,s,-,0.9127,0.30149198,model_2614
episode_2696,c_1,c_8,c_1,c_11,0.9736,0.08243618,model_2387
episode_2697,c_5,c_12,c_5,c_4,0.9737,0.085524164,model_2615
episode_2698,c_7,c_8,c_2,c_12,0.9744,0.08035616,model_2616
episode_2699,s,-,-,-,0.9111,0.328965,model_431
episode_2700,c_10,c_1,c_5,c_12,0.9795,0.0623109,model_389
episode_2701,c_5,c_10,c_11,c_1,0.974,0.081929415,model_2617
episode_2702,c_4,c_9,c_8,c_5,0.9737,0.081347,model_2618
episode_2703,c_4,c_8,c_4,c_11,0.974,0.08377487,model_2619
episode_2704,c_11,c_9,m_1,c_10,0.9625,0.13263991,model_2620
episode_2705,c_11,c_2,c_8,m_1,0.9743,0.08175939,model_2621
episode_2706,m_3,m_1,s,-,0.5849,1.4568685,model_2622
episode_2707,c_5,c_7,c_4,m_1,0.9734,0.083160184,model_2623
episode_2708,c_5,c_8,c_8,c_1,0.9734,0.08298143,model_2624
episode_2709,c_5,c_1,c_11,c_6,0.9821,0.05689962,model_693
episode_2710,s,-,-,-,0.9111,0.328965,model_431
